DEPT,GR,ILD,DPHI,SitID,Pick,Binary_Predict,Predict
332.232,87.089,3.554,0.184,111134,0,0,0.10413346
332.482,83.898,3.633,0.193,111134,0,0,0.11550983
332.732,80.419,3.673,0.183,111134,0,0,0.12208153
332.982,78.394,3.595,0.184,111134,0,0,0.1209067
333.232,79.28,3.437,0.199,111134,0,0,0.114554
333.482,78.419,3.32,0.215,111134,0,0,0.10809274
333.732,76.104,3.281,0.225,111134,0,0,0.104375176
333.982,77.571,3.597,0.232,111134,0,0,0.102518134
334.232,75.837,4.624,0.242,111134,0,0,0.12476702
334.482,72.646,5.454,0.251,111134,0,0,0.13052636
334.732,68.292,6.323,0.278,111134,0,0,0.12493527
334.982,63.353,8.377,0.296,111134,0,0,0.10774145
335.232,55.502,10.075,0.293,111134,1,0,0.09651876
335.482,49.109,13.59,0.278,111134,0,0,0.08313986
335.732,47.373,16.591,0.284,111134,0,0,0.07399828
335.982,45.641,15.809,0.298,111134,0,0,0.06358793
336.232,45.653,16.488,0.303,111134,0,0,0.055120382
336.482,45.959,17.942,0.309,111134,0,0,0.050414763
336.732,46.266,19.381,0.309,111134,0,0,0.050029118
336.982,46.276,20.863,0.302,111134,0,0,0.051046345
337.232,47.162,23.502,0.302,111134,0,0,0.050728176
337.482,47.177,26.958,0.289,111134,0,0,0.05549557
337.732,47.191,31.585,0.251,111134,0,0,0.07256649
337.982,47.203,37.002,0.223,111134,0,0,0.084847026
338.232,48.382,42.024,0.282,111134,0,0,0.059348393
338.482,50.436,43.887,0.295,111134,0,0,0.05477128
338.732,51.321,44.17,0.301,111134,0,0,0.052150648
338.982,49.296,44.017,0.304,111134,0,0,0.048754647
339.232,47.853,43.919,0.304,111134,0,0,0.04880624
339.482,50.196,43.413,0.303,111134,0,0,0.05037028
339.732,51.376,42.906,0.307,111134,0,0,0.04934176
339.982,50.222,42.4,0.309,111134,0,0,0.048198726
340.232,49.95,41.879,0.311,111134,0,0,0.048656736
340.482,50.249,41.345,0.314,111134,0,0,0.048369613
340.732,50.264,41.233,0.316,111134,0,0,0.047931172
340.982,49.698,41.136,0.31,111134,0,0,0.0496705
341.232,50.0,39.825,0.295,111134,0,0,0.055478834
341.482,51.178,38.134,0.303,111134,0,0,0.058384158
341.732,52.649,34.455,0.311,111134,0,0,0.06584715
341.982,53.534,31.156,0.307,111134,0,0,0.06735841
342.232,54.13,27.885,0.307,111134,0,0,0.071335584
342.482,55.016,25.799,0.315,111134,0,0,0.061898127
342.732,55.615,23.672,0.318,111134,0,0,0.06265828
342.982,55.626,22.403,0.309,111134,0,0,0.06945435
343.232,55.057,21.883,0.295,111134,0,0,0.087056614
343.482,54.78,21.376,0.24,111134,0,0,0.1420121
343.732,53.919,21.632,0.149,111134,0,0,0.13902912
343.982,54.516,23.481,0.111,111134,0,0,0.09871836
344.232,51.032,24.976,0.078,111134,0,0,0.078218885
344.482,49.008,24.442,0.08,111134,0,0,0.08153185
344.732,50.189,22.356,0.12,111134,0,0,0.11987756
344.982,51.657,19.861,0.163,111134,0,0,0.14376764
345.232,53.71,16.957,0.251,111134,0,0,0.10271908
345.482,53.723,15.689,0.287,111134,0,0,0.083398424
345.732,51.404,13.984,0.319,111134,0,0,0.07211924
345.982,48.796,13.478,0.332,111134,0,0,0.05916966
346.232,49.396,12.957,0.307,111134,0,0,0.069562905
346.482,49.116,12.818,0.289,111134,0,0,0.08528848
346.732,48.836,13.101,0.255,111134,0,0,0.11142593
346.982,50.307,13.779,0.211,111134,0,0,0.16059446
347.232,51.488,14.471,0.181,111134,0,0,0.15756887
347.482,48.297,17.11,0.211,111134,0,0,0.14133026
347.732,48.31,18.578,0.247,111134,0,0,0.12766786
347.982,50.072,22.006,0.281,111134,0,0,0.12253953
348.232,50.956,27.437,0.274,111134,0,0,0.13908315
348.482,50.095,36.013,0.224,111134,0,0,0.20867467
348.732,45.448,52.514,0.184,111134,0,0,0.2126493
348.982,41.386,113.284,-0.008,111134,0,0,0.077411816
349.232,40.524,142.817,-0.023,111134,0,0,0.06983976
349.482,40.54,126.882,-0.02,111134,0,0,0.06307272
349.732,40.553,87.621,-0.013,111134,0,0,0.06553003
349.982,40.856,58.246,0.007,111134,0,0,0.06448783
350.232,43.49,31.241,0.027,111134,0,0,0.06558506
350.482,46.999,19.664,0.059,111134,0,0,0.08447242
350.732,49.634,16.379,0.137,111134,0,0,0.13997202
350.982,51.396,15.45,0.211,111134,0,0,0.12809318
351.232,52.281,14.957,0.246,111134,0,0,0.113219015
351.482,52.297,15.563,0.296,111134,0,0,0.07758284
351.732,50.562,15.445,0.322,111134,0,0,0.0660649
351.982,51.158,15.446,0.318,111134,0,0,0.057954982
352.232,51.753,15.565,0.32,111134,0,0,0.058574747
352.482,51.185,16.434,0.315,111134,0,0,0.062471304
352.732,50.325,16.671,0.323,111134,0,0,0.058744792
352.982,49.755,16.988,0.324,111134,0,0,0.052112233
353.232,46.564,17.897,0.312,111134,0,0,0.05245385
353.482,44.541,17.976,0.292,111134,0,0,0.061610248
353.732,44.551,18.253,0.279,111134,0,0,0.07177173
353.982,42.236,19.201,0.266,111134,0,0,0.088081904
354.232,40.503,19.675,0.242,111134,0,0,0.10037238
354.482,42.553,19.36,0.2,111134,0,0,0.108044975
354.732,47.517,17.387,0.178,111134,0,0,0.11002884
354.982,51.318,17.032,0.246,111134,0,0,0.09741865
355.232,53.37,17.191,0.294,111134,0,0,0.08144176
355.482,53.384,18.06,0.273,111134,0,0,0.10151177
355.732,49.611,18.455,0.225,111134,0,0,0.13692524
355.982,51.08,17.469,0.097,111134,0,0,0.07546274
356.232,53.716,16.522,0.091,111134,0,0,0.07448819
356.482,53.727,14.982,0.116,111134,0,0,0.11480264
356.732,54.91,13.68,0.2,111134,0,0,0.11611038
356.982,54.92,12.181,0.267,111134,0,0,0.08267848
357.232,52.602,11.273,0.317,111134,0,0,0.05742353
357.482,50.287,10.642,0.311,111134,0,0,0.053534843
357.732,49.717,10.208,0.299,111134,0,0,0.05599647
357.982,50.022,10.13,0.31,111134,0,0,0.05619513
358.232,51.494,10.288,0.318,111134,0,0,0.058528557
358.482,55.002,10.447,0.31,111134,0,0,0.06562189
358.732,55.889,10.052,0.311,111134,0,0,0.06705442
358.982,55.902,9.619,0.31,111134,0,0,0.06496641
359.232,56.792,9.619,0.297,111134,0,0,0.06603335
359.482,57.677,9.778,0.297,111134,0,0,0.06352969
359.732,59.144,9.7,0.292,111134,0,0,0.066616096
359.982,63.529,9.345,0.296,111134,0,0,0.060029674
360.232,68.783,6.621,0.293,111134,0,0,0.058121752
360.482,74.039,2.2,0.281,111134,0,0,0.059221555
360.732,86.286,2.003,0.259,111134,0,0,0.06720232
360.982,86.59,2.003,0.232,111134,0,0,0.08687442
361.232,79.031,2.162,0.231,111134,0,0,0.09081599
361.482,66.23,3.11,0.222,111134,0,0,0.07543671
361.732,60.419,3.584,0.247,111134,0,0,0.062250502
361.982,67.714,4.177,0.255,111134,0,0,0.06027514
362.232,72.385,4.257,0.239,111134,0,0,0.0666548
362.482,73.856,4.178,0.232,111134,0,0,0.07271466
362.732,71.83,4.178,0.213,111134,0,0,0.087656096
362.982,70.387,4.022,0.205,111134,0,0,0.09635518
363.232,73.605,3.667,0.196,111134,0,0,0.09705558
363.482,75.951,3.431,0.191,111134,0,0,0.09305599
363.732,77.709,3.313,0.207,111134,0,0,0.082563385
363.982,78.016,3.313,0.225,111134,0,0,0.07945471
364.232,78.027,3.156,0.233,111134,0,0,0.08189743
364.482,80.081,2.88,0.23,111134,0,0,0.08879434
364.732,82.132,2.762,0.218,111134,0,0,0.09915514
364.982,81.856,2.684,0.211,111134,0,0,0.112522915
365.232,78.663,2.527,0.201,111134,0,0,0.12813161
365.482,78.095,2.251,0.211,111134,0,0,0.12557131
365.732,78.399,2.054,0.225,111134,0,0,0.12220725
365.982,77.542,1.857,0.202,111134,0,0,0.14542802
366.232,76.095,1.857,0.215,111134,0,0,0.14631015
366.482,72.906,1.819,0.23,111134,0,0,0.15093571
366.732,68.55,1.978,0.248,111134,0,0,0.16084065
366.982,57.786,2.886,0.274,111134,0,0,0.11266087
367.232,49.061,5.019,0.284,111134,0,0,0.085057415
367.482,45.288,8.415,0.274,111134,0,0,0.06871649
367.732,47.05,10.232,0.292,111134,0,0,0.06082335
367.982,47.938,11.93,0.302,111134,0,0,0.053739257
368.232,48.243,12.918,0.323,111134,0,0,0.048674174
368.482,49.421,13.55,0.329,111134,0,0,0.047971725
368.732,50.602,14.024,0.329,111134,0,0,0.047802992
368.982,50.322,14.104,0.326,111134,0,0,0.045108728
369.232,48.878,13.71,0.318,111134,0,0,0.044317946
369.482,48.6,13.434,0.322,111134,0,0,0.04281725
369.732,49.199,14.185,0.316,111134,0,0,0.045206062
369.982,47.171,15.094,0.306,111134,0,0,0.047012877
370.232,46.31,17.542,0.285,111134,0,0,0.053533595
