DEPT,GR,ILD,DPHI,SitID,Pick,Binary_Predict,Predict
190.0,88.362,2.964,0.31,113106,0,0,0.09807458
190.3,94.342,2.941,0.306,113106,0,0,0.10494088
190.6,93.515,2.946,0.312,113106,0,0,0.112862386
190.9,92.104,2.951,0.306,113106,0,0,0.12771222
191.2,89.801,2.954,0.298,113106,0,0,0.14452627
191.5,85.147,2.958,0.294,113106,0,0,0.16383447
191.8,84.019,2.962,0.296,113106,0,0,0.1616595
192.1,84.386,3.022,0.3,113106,0,0,0.18030128
192.4,85.923,3.054,0.297,113106,0,0,0.23582496
192.7,85.982,3.174,0.288,113106,0,1,0.3399658
193.0,75.703,3.359,0.262,113106,0,1,0.41723755
193.3,61.88,3.621,0.253,113106,0,1,0.37761343
193.6,47.466,4.086,0.265,113106,0,0,0.25492695
193.9,46.049,4.874,0.297,113106,1,0,0.12959577
194.2,48.182,6.675,0.307,113106,0,0,0.09787875
194.5,47.657,9.227,0.317,113106,0,0,0.079591714
194.8,48.314,15.192,0.317,113106,0,0,0.07917133
195.1,49.575,24.785,0.316,113106,0,0,0.07743899
195.4,51.4,26.966,0.314,113106,0,0,0.080279894
195.7,54.715,28.799,0.313,113106,0,0,0.08525698
196.0,56.842,32.808,0.318,113106,0,0,0.088676706
196.3,58.089,44.538,0.322,113106,0,0,0.087385066
196.6,57.859,49.342,0.322,113106,0,0,0.08542128
196.9,56.737,56.723,0.322,113106,0,0,0.08466273
197.2,55.038,65.83,0.325,113106,0,0,0.08355866
197.5,55.104,71.622,0.327,113106,0,0,0.08474452
197.8,56.928,71.728,0.323,113106,0,0,0.088680655
198.1,58.176,71.175,0.318,113106,0,0,0.09165427
198.4,59.725,78.142,0.313,113106,0,0,0.09247902
198.7,58.308,94.959,0.306,113106,0,0,0.0919082
199.0,58.078,92.496,0.298,113106,0,0,0.09397272
199.3,56.365,91.784,0.293,113106,0,0,0.09612218
199.6,52.887,100.782,0.285,113106,0,0,0.09583017
199.9,49.113,118.01,0.274,113106,0,0,0.093631804
200.2,46.219,133.207,0.268,113106,0,0,0.0911628
200.5,46.285,142.304,0.251,113106,0,0,0.09448782
200.8,47.821,133.641,0.241,113106,0,0,0.09623785
201.1,48.484,112.314,0.223,113106,0,0,0.09709447
201.4,50.322,80.742,0.206,113106,0,0,0.09886496
201.7,52.738,59.123,0.229,113106,0,0,0.09234753
202.0,57.832,58.139,0.252,113106,0,0,0.08862965
202.3,60.261,57.154,0.289,113106,0,0,0.08636106
202.6,60.32,45.466,0.315,113106,0,0,0.08772462
202.9,58.325,38.592,0.322,113106,0,0,0.08881779
203.2,61.928,35.566,0.316,113106,0,0,0.0943072
203.5,67.606,31.025,0.308,113106,0,0,0.10250398
203.8,70.633,28.592,0.302,113106,0,0,0.10565993
204.1,68.322,26.602,0.301,113106,0,0,0.1018684
204.4,65.737,23.851,0.303,113106,0,0,0.094688065
204.7,65.796,17.629,0.302,113106,0,0,0.09050055
205.0,65.567,14.284,0.302,113106,0,0,0.09124953
205.3,63.558,13.918,0.308,113106,0,0,0.09465492
205.6,61.55,14.457,0.312,113106,0,0,0.096509054
205.9,56.89,14.216,0.304,113106,0,0,0.09332628
206.2,56.07,12.632,0.289,113106,0,0,0.088830926
206.5,56.424,11.641,0.268,113106,0,0,0.08877112
206.8,60.035,10.932,0.279,113106,0,0,0.08624748
207.1,62.181,10.847,0.297,113106,0,0,0.08601858
207.4,62.234,11.167,0.306,113106,0,0,0.08549654
207.7,61.414,11.289,0.301,113106,0,0,0.08644989
208.0,60.305,10.994,0.294,113106,0,0,0.088142976
208.3,60.653,10.133,0.292,113106,0,0,0.08869237
208.6,64.27,9.174,0.286,113106,0,0,0.08791715
208.9,68.76,8.853,0.27,113106,0,0,0.084322356
209.2,70.9,8.867,0.259,113106,0,0,0.08144124
209.5,68.006,8.878,0.256,113106,0,0,0.079251826
209.8,67.186,8.974,0.246,113106,0,0,0.08036915
210.1,67.836,9.071,0.226,113106,0,0,0.08581883
210.4,69.083,9.778,0.188,113106,0,0,0.092782795
210.7,72.096,10.443,0.175,113106,0,0,0.09411509
211.0,75.122,10.651,0.182,113106,0,0,0.08884917
211.3,76.363,10.379,0.231,113106,0,0,0.07669376
211.6,75.543,9.832,0.255,113106,0,0,0.074845634
211.9,76.495,8.737,0.281,113106,0,0,0.07295307
212.2,77.151,8.432,0.289,113106,0,0,0.07338226
212.5,74.848,9.259,0.279,113106,0,0,0.07661871
212.8,76.102,9.981,0.281,113106,0,0,0.08376605
213.1,80.296,10.088,0.297,113106,0,0,0.093442865
213.4,87.451,9.561,0.307,113106,0,0,0.09883577
213.7,91.652,8.185,0.319,113106,0,0,0.101647496
214.0,89.953,6.453,0.33,113106,0,0,0.108875565
214.3,92.382,6.003,0.341,113106,0,0,0.11526594
214.6,94.797,6.237,0.352,113106,0,0,0.121702686
214.9,96.937,7.04,0.361,113106,0,0,0.122930124
215.2,95.52,8.398,0.358,113106,0,0,0.16113009
215.5,88.786,9.57,0.355,113106,0,0,0.2324499
215.8,79.393,10.034,0.333,113106,0,0,0.25775528
216.1,73.552,10.521,0.298,113106,0,0,0.24692796
216.4,73.329,11.134,0.266,113106,0,0,0.21577899
216.7,74.267,11.463,0.241,113106,0,0,0.14789608
217.0,75.515,11.48,0.223,113106,0,0,0.118809275
217.3,76.762,11.497,0.216,113106,0,0,0.08531643
217.6,78.6,11.617,0.212,113106,0,0,0.081899166
217.9,80.727,11.527,0.205,113106,0,0,0.08056439
218.2,80.8,11.334,0.199,113106,0,0,0.08079508
218.5,80.564,10.842,0.2,113106,0,0,0.08261985
218.8,80.046,10.179,0.209,113106,0,0,0.08173935
219.1,79.803,9.558,0.219,113106,0,0,0.08548
219.4,81.943,8.891,0.229,113106,0,0,0.08943703
219.7,86.728,8.273,0.247,113106,0,0,0.10166341
220.0,99.508,7.696,0.266,113106,0,0,0.10721002
220.3,105.482,7.224,0.265,113106,0,0,0.10730633
220.6,103.473,6.479,0.258,113106,0,0,0.109787814
220.9,102.351,5.809,0.256,113106,0,0,0.106642455
221.2,106.552,5.257,0.234,113106,0,0,0.10365961
221.5,107.806,4.714,0.233,113106,0,0,0.10526242
221.8,111.706,4.227,0.231,113106,0,0,0.11336117
222.1,108.818,3.861,0.252,113106,0,0,0.14222753
222.4,103.856,3.795,0.29,113106,0,0,0.15525709
222.7,93.873,3.945,0.317,113106,0,0,0.15938976
223.0,87.434,4.33,0.342,113106,0,0,0.14838104
223.3,92.528,5.359,0.37,113106,0,0,0.12817807
223.6,93.775,6.512,0.383,113106,0,0,0.122932
223.9,96.499,7.768,0.38,113106,0,0,0.1278419
224.2,100.989,7.708,0.369,113106,0,0,0.14461866
224.5,101.055,7.104,0.343,113106,0,0,0.22384474
224.8,96.388,6.371,0.334,113106,0,0,0.2951192
225.1,84.337,6.206,0.318,113106,0,1,0.3401885
225.4,70.803,6.753,0.329,113106,0,1,0.30078056
225.7,59.94,8.129,0.329,113106,0,0,0.22306359
226.0,57.348,11.445,0.333,113106,0,0,0.17986085
226.3,59.179,14.695,0.334,113106,0,0,0.13342728
226.6,60.729,19.404,0.331,113106,0,0,0.12251738
226.9,61.969,26.326,0.333,113106,0,0,0.09790873
